,,Date,Target Weight,Target Bodyfat %,Recorded Weight,Recorded Bodyfat,,
Week 1,Day 1,1/1/2014,214,0.26,214,0.261,Target,182
,Day 2,1/2/2014,213.644444444444,0.258555555555556,217,0.242,Target %,0.13
,Day 3,1/3/2014,213.288888888889,0.257111111111111,215,0.242,Loss,32
,Day 4,1/4/2014,212.933333333333,0.255666666666667,214,0.242,Days,90
,Day 5,1/5/2014,212.577777777778,0.254222222222222,214,0.242,Daily Loss,0.355555555555556
,Day 6,1/6/2014,212.222222222222,0.252777777777778,210,0.252,Daily % loss,0.001444444444444
,Day 7,1/7/2014,211.866666666667,0.251333333333333,209,0.238,,
Week 2,Day 8,1/8/2014,211.511111111111,0.249888888888889,209,0.238,,
,Day 9,1/9/2014,211.155555555556,0.248444444444444,208,0.234,,
,Day 10,1/10/2014,210.8,0.247,207,0.226,,
,Day 11,1/11/2014,210.444444444444,0.245555555555555,207,0.219,,
,Day 12,1/12/2014,210.088888888889,0.244111111111111,207,0.219,,
,Day 13,1/13/2014,209.733333333333,0.242666666666667,207,0.2,,
,Day 14,1/14/2014,209.377777777778,0.241222222222222,207,0.222,,
Week 3,Day 15,1/15/2014,209.022222222222,0.239777777777778,212,0.222,,
,Day 16,1/16/2014,208.666666666667,0.238333333333333,210,0.23,,
,Day 17,1/17/2014,208.311111111111,0.236888888888889,208,0.21,,
,Day 18,1/18/2014,207.955555555556,0.235444444444444,208,0.21,,
,Day 19,1/19/2014,207.6,0.234,208,0.235,,
,Day 20,1/20/2014,207.244444444444,0.232555555555555,208,0.235,,
,Day 21,1/21/2014,206.888888888889,0.231111111111111,214,0.216,,
Week 4,Day 22,1/22/2014,206.533333333333,0.229666666666667,213,0.218,,
,Day 23,1/23/2014,206.177777777778,0.228222222222222,212,0.218,,
,Day 24,1/24/2014,205.822222222222,0.226777777777778,211,0.218,,
,Day 25,1/25/2014,205.466666666667,0.225333333333333,210,0.218,,
,Day 26,1/26/2014,205.111111111111,0.223888888888889,210,0.218,,
